Group,Subject,Condition,Data
high,01,ROE,0.035411011961191674
high,01,RCE,0.012345171131173394
high,01,IND1,0.017735379177680644
high,01,IND2,0.02041108799283531
high,01,NH,0.014588987910106543
high,01,POST,-0.001602507461720304
high,02,ROE,-0.0029881630668646686
high,02,RCE,0.03288425595720201
high,02,IND1,0.04084863177859177
high,02,IND2,0.02027660952031285
high,02,NH,0.03315535038230677
high,02,POST,0.044682435286163114
high,03,ROE,0.007029224965451331
high,03,RCE,0.0018437600212003469
high,03,IND1,-0.008147859108970201
high,03,IND2,0.00986218338641598
high,03,NH,-0.0007941453869908521
high,03,POST,0.018376097470100383
high,04,ROE,-0.0010503970830290088
high,04,RCE,0.0015484838555012148
high,04,IND1,0.011109879835595748
high,04,IND2,0.017879478341497612
high,04,NH,0.011622351438123513
high,04,POST,0.005516376638643794
high,05,ROE,0.02731364696827565
high,05,RCE,-0.016221503871816978
high,05,IND1,0.0027133912162025098
high,05,IND2,0.02806617873929329
high,05,NH,-0.05748950836399358
high,05,POST,-0.021918961400494874
high,06,ROE,0.00808094684184979
high,06,RCE,0.007192526416326062
high,06,IND1,0.004478488169051831
high,06,IND2,0.014816428091640743
high,06,NH,0.008686734627572634
high,06,POST,0.02778158936845465
high,07,ROE,0.008506824441087635
high,07,RCE,0.017080891886218863
high,07,IND1,-0.0052741256035852
high,07,IND2,0.007704681582993422
high,07,NH,0.007447650708668485
high,07,POST,0.0013271745536992396
high,08,ROE,0.012127120242881428
high,08,RCE,0.00924490475012929
high,08,IND1,0.002974827723349338
high,08,IND2,-0.005168853538549567
high,08,NH,-0.0019772692257387092
high,08,POST,0.006938220456594535
high,09,ROE,0.08620168464827604
high,09,RCE,0.013466254581332437
high,09,IND1,0.02105711933224086
high,09,IND2,0.017040767507654153
high,09,NH,0.018133905514321702
high,09,POST,0.01101802690035536
high,10,ROE,0.022291154496425603
high,10,RCE,0.03317180667999142
high,10,IND1,0.04902148110931104
high,10,IND2,0.028804736415577792
high,10,NH,0.02370267967043027
high,10,POST,-0.05992917834418621
high,11,ROE,-0.019405601539177253
high,11,RCE,-0.011103333177828745
high,11,IND1,0.02374392995549013
high,11,IND2,0.01922181919611854
high,11,NH,0.01131636487364851
high,11,POST,-0.0004001623190932335
high,13,ROE,0.057194228085408194
high,13,RCE,0.040205886925562595
high,13,IND1,0.04523730983800067
high,13,IND2,0.0801951512404121
high,13,NH,-0.005275637321970228
high,13,POST,0.1417555962685707
high,14,ROE,0.0960596809849601
high,14,RCE,0.08829518287738136
high,14,IND1,-0.03904951726572048
high,14,IND2,0.032611773525124566
high,14,NH,0.04840746072123103
high,14,POST,0.07354389847012754
high,15,ROE,-0.0070378463600219154
high,15,RCE,0.006060046350977566
high,15,IND1,0.005835475343258123
high,15,IND2,-0.00033605424727711775
high,15,NH,0.002688167837937905
high,15,POST,-0.0006737556430235214
high,16,ROE,-0.03988223044490502
high,16,RCE,0.013836877696379868
high,16,IND1,0.007987693802765872
high,16,IND2,0.009692540328601007
high,16,NH,0.015179884287498613
high,16,POST,4.081434483049762e-05
low,17,ROE,0.006969344330734706
low,17,RCE,-0.006290441278195891
low,17,IND1,0.007644214877906119
low,17,IND2,-0.010609943159181179
low,17,NH,6.316938349792967e-05
low,17,POST,-0.0003327775985819681
low,18,ROE,-0.028232991112995043
low,18,RCE,0.0031359829617583213
low,18,IND1,-0.014895481262879318
low,18,IND2,0.011697668797665206
low,18,NH,0.016533716540753085
low,18,POST,0.014912621985031405
low,19,ROE,0.03918346397521044
low,19,RCE,0.034001965614383844
low,19,IND1,0.03223426279659358
low,19,IND2,0.02289420871724157
low,19,NH,0.025517719394835714
low,19,POST,0.0023937356253740383
low,20,ROE,0.03606057299970511
low,20,RCE,-0.004486501879504168
low,20,IND1,-0.011031705945422021
low,20,IND2,0.0014118456750981112
low,20,NH,0.00598212904587192
low,20,POST,-0.008926433933201583
low,21,ROE,0.027857042227716344
low,21,RCE,0.0005721373021521092
low,21,IND1,0.022192507323082977
low,21,IND2,0.0059661884603611215
low,21,NH,0.01493432921246396
low,21,POST,-0.002383130101810682
low,22,ROE,0.006148885875033705
low,22,RCE,0.020236723125903744
low,22,IND1,0.014663435552478399
low,22,IND2,0.009012095206990312
low,22,NH,0.0075483226639609935
low,22,POST,0.04403645339245976
low,23,ROE,0.03807595412224207
low,23,RCE,0.009719544628715826
low,23,IND1,0.0075564767134854716
low,23,IND2,0.017862474492804203
low,23,NH,0.009062456343793213
low,23,POST,0.015029868874507413
low,24,ROE,0.03637281798924796
low,24,RCE,0.02947239277210223
low,24,IND1,0.021147070469872187
low,24,IND2,0.015845713683781515
low,24,NH,0.033195960597441676
low,24,POST,0.10216342099925046
low,25,ROE,0.001598634905044971
low,25,RCE,0.011814735960870903
low,25,IND1,0.010286309335521104
low,25,IND2,0.006449124343251844
low,25,NH,0.007534153294038171
low,25,POST,0.05679488091475138
low,26,ROE,0.024735845805714196
low,26,RCE,0.031742261485258716
low,26,IND1,0.037943651841919834
low,26,IND2,0.032240553267692706
low,26,NH,0.030855006418986197
low,26,POST,0.05564548746889819
low,27,ROE,0.01912303044092689
low,27,RCE,0.013977505057427675
low,27,IND1,0.02509635680432465
low,27,IND2,0.0227177501153375
low,27,NH,0.00975567851711645
low,27,POST,0.02960113764301564
low,28,ROE,0.004478542561634047
low,28,RCE,0.008939556335011423
low,28,IND1,0.005066982329422931
low,28,IND2,0.01123947041241502
low,28,NH,0.005227527340689209
low,28,POST,0.02652077393844221
low,29,ROE,0.05226356363651552
low,29,RCE,0.10199667545920377
low,29,IND1,0.030542524845153185
low,29,IND2,0.04698284422434462
low,29,NH,0.0854927268090423
low,29,POST,-0.03918629979222277
low,30,ROE,0.006581551510454031
low,30,RCE,0.016507419980276383
low,30,IND1,-0.002718593190339069
low,30,IND2,0.01276441784734883
low,30,NH,-0.008359507951376632
low,30,POST,-0.0018446067015590595
low,31,ROE,0.014562211307095896
low,31,RCE,0.004893786155523161
low,31,IND1,-0.019831602782446223
low,31,IND2,0.009198773518729553
low,31,NH,-0.008562677982183686
low,31,POST,-0.03369986867941288
